#	number
#	pound
(F)	final
AFP	alpha-fetoprotein (laboratory/chemistry)
AFP	ascending frontal parietal
AFRD	acute febrile respiratory disease
AFRI	acute febrile respiratory illness
AFS	acquired Fanconi's syndrome
AFS	adult Fanconi's syndrome
AFS	anti-fibroblast serum
AFT	agglutination-flocculation test
AFT	acute follicular tonsillitis
AFT et A	acute follicular tonsillitis, adenoid vegetation
AFTN	autonomously functioning thyroid nodule
AFV	amniotic fluid volume
AFVSS	afebrile, vital signs stable
AFX	air-fluid exchange
AFX	atypical fibroxanthoma
AG	abdominal girth
AG	aminoglycoside
AG	anion gap
AG	antigen
AG	anti-gravity
AG	atrial gallop
AG	axiogingival
AG/BL	aminoglycoside/betalactam
AGA	accelerated growth area
AGA	acute gonococcal arthritis
AGA	anti-glomerular antibody
AGA	appropriate for gestational age
AGA	average gestational age
AGAP	antigen-against-panel
AGC	absolute granulocyte count
AGC	advanced gastric cancer
AGC	advanced gastric carcinoma
AGD	agar gel diffusion
AGE	acute gastroenteritis
AGE	angle of greatest extension
AGE	irreversible advanced glycosylation end products
AGF	angle of greatest flexion
AGG	agammaglobulinemia
AGL	acute granulocytic leukemia
AGML	acute gastric mucosal lesion
AGN	acute glomerulonephritis
AGP	antegrade pyelography
AGPT	agar-gel precipitation test
AGS	adrenogenital syndrome
AGTT	abnormal glucose tolerance test
AGV	anilin gentian violet
AH	abdominal hysterectomy
AH	absorptive hypercalciuria
AH	accidental hypothermia
AH	acute hepatitis
AH	alcoholic hepatitis
AH	amenorrhea-hyperprolactinemia
AH	antihyalurodinase
AH	amenorrhea and hirsutism
AH	arterial hypertension
AH	artificial heart
AH	ascites hepatoma
AH	astigmatic hypermetropia
AH	axillary hair
AHA	acetohydroxamic acid (Lithostat)
AHA	acquired hemolytic anemia
AHA	anti-heart antibody
AHA	anti-histone antibody
AHA	autoimmune hemolytic anemia
AHA	American Hospital Association
AHBC	hepatitis B core antibody
AHC	acute hemorrhagic conjunctivitis
AHC	acute hemorrhagic cystitis
AHD	acquired heart disease
AHD	antihypertensive drug
AHD	arteriosclerotic heart disease
AHD	autoimmune hemolytic disease
AHDMS	automated hospital data management system
AHE	acute hemorrhagic encephalomyelitis
AHEC	Area Health Education Center
AHES	artificial heart energy system
AHF	acute heart failure
AHF	Argentinian hemorrhagic fever
AHF	antihemophilic factor
AHG	antihemophilic golbulin
AHGS	acute herpetic gingival stomatitis
AHH	aryl hydrocarbon hydroxylase
AHHD	arteriosclerotic hypertensive heart disease
AHI	apnea/hypopnea index
AHJ	artificial hip joint
AHL	artificial heart-lung
AHLG	anti-human lymphocyte globulin
AHLS	anti-human lymphocyte serum
AHM	ambulatory holter monitoring
AHMA	antihepatocyte membrane antibody
AHN	adenomatous hyperplastic nodule
AHP	acute hemorrhagic pancreatitis
AHS	adaptive hand skills
AHT	alternating hypertropia
AHT	autoantibodies to human thyroglobulin
AHTG	anti-human thymocyte globulin
AHTP	anti-human thymocyte plasma
AHU	acute hemolytic uremic (syndrome)
AHV	avian herpes virus
AI	accidentally incurred
AI	apical impulse
AI	allergy index
AI	allergy and immunology
AI	anxiety index
AI	aortic insufficiency
AI	artificial insemination
AI	artificial intelligence
AI	atrial insufficiency
AI	autoimmune
AI(OH)₃	aluminum hydroxide
AI-Ab	anti-insulin antibody
AIA	anti-insulin antibody
AIA	aspirin-induced asthma
AIA	automated image analysis
AIB	avian infectious bronchitis
AIBF	anterior interbody fusion
AICA	anterior inferior cerebellar artery
AICA	anterior inferior communicating artery
AICD	automatic implantable cardioverter/defibrillator
AID	acquired immunodeficiency disease
AID	acute infectious disease
AID	anti-inflammatory drug
AID	artificial insemination donor
AID	autoimmune deficiency
AID	autoimmune disease
AID	automatic implantable defibrillator
AID	artificial insemination with donor's semen
AIDKS	acquired immune deficiency syndrome with Kaposi's sarcoma
AIDS	acquired immune deficiency syndrome
AIDS	acute infectious disease series
AIDS	autoimmune deficiency syndrome
AIE	acute inclusion body encephalitis
AIE	acute infectious encephalitis
AIE	acute infectious endocarditis
AIF	anti-invasion factor
AIF	aortic-iliac-femoral anterior interbody fusion
AIF	anemia-inducing factor
AIF	anti-inflammatory
AIH	artificial insemination with husband's sperm
AIH	artificial insemination, homologous
AIHA	autoimmune hemolytic anemia
AIHD	acquired immune hemolytic disease
AIIS	anterior inferior iliac spine
AIL	acute infectious lymphocytosis
AIL	angioimmunoblastic lymphadenopathy
AILD	angioimmunoblastic lymphadenopathy (with dysproteinemia)
AIMS	Abnormal Involuntary Movement Scale
AIMS	Arthritis Impact Measurement Scales
AIN	anal intraepithelial neoplasia
AIN	acute interstitial nephritis
AINS	anti-inflammatory non-steroidal
AIOD	aortoiliac occlusive disease
AION	anterior ischemic optic neuropathy
AIP	acute idiopathic pericarditis
AIP	acute infectious polyneuritis
AIP	acute inflammatory polyneuropathy
AIP	aucte intermittent porphyria
AIR	accelerated idioventricular rhythm
AIRA	anti-insulin receptor antibody
AIRF	alternation in respiratory function
AIS	Abbreviated Injury Score
AIS	androgen insensitivity syndrome
AIS	anti-insulin serum
AITP	autoimmune thrombocytopenia purpura
AIU	absolute iodine uptake
AIU	antigen-inducing unit
AIVR	accelerated idioventricular rhythm
AJ	ankle jerk
AJR	abnormal jugular reflex
AK	above knee(amputation)
AK	actinic keratosis
AK	artificial kidney
AKA	above knee amputation
AKA	alcoholic ketoacidosis
AKA	also known as
AKA	all known allergies
AKA	anti-keratin antibody
AKS	arthroscopic knee surgery
AKU	artificial kidney unit
AL	acute leukemia
AL	alcoholism
AL	anti-human lymphocytic(globulin)
AL	argon laser
AL	arterial line
AL	avian leukosis
AL	axial length
AL	left ear[L.auris laeva]
ALA	aminolevulinic acid
ALAC	antibiotic-loaded acrylic cement
ALAD	abnormal left axis deviation
ALAT	alanine transaminase (alanineaminotrans ferase;SGPT)
ALAX	apical long axis
ALC	acute lethal catatonia
ALC	alcohol
ALC	alcoholic liver cirrhosis
ALC	allogeneic lymphocyte cytotoxicity
ALC	alternate level of care
ALC	avian leukosis complex
ALC	axiolinguo cervical
ALCAPA	anomalous origin of the left coronary artery from the pulmonary artery
ALCR	alcohol rub
ALD	adrenoleukodystrophy
ALD	alcoholic liver disease
ALD	aldolase
ALEP	atypical lymphoepithelioid cell proliferation
ALF	acute liver failure
ALFT	abnormal liver function test
ALG	antilymphoblast globulin
ALG	antilymphocyte globulin
ALGOL	algorithmic language
ALGP	ankaline glycerophosphatase
ALH	anterior lobe hormone (of hypophysis)
ALH	anterior lobe of the hypophysis
ALI	argon laser iridotomy
ALK ISO	alkaline phosphatase isoenzymes
ALK-P	alkaline phosphatase
ALL	acute lymphatic leukemia
ALL	acute lymphoblastic leukemia
ALL	acute lymphocytic leukemia
ALL	allergy
ALL	anterior longitudinal ligament
ALM	acral lentiginous melanoma
ALMI	anterolateral myocardial infarction
ALN	anterior lymph node
ALO	axiolinguoocclusal
ALP	acute lupus pericarditis
ALP	anterior lobe of pituitary
ALP	antilymphocyte plasma
ALP	argon laser photocoagulation
ALP	alkaline phosphatase
ALRI	anterolateral rotary instability
ALS	acute lateral sclerosis
ALS	advanced life support
ALS	amyotrophic lateral sclerosis
ALS	antilymphocyte serum
ALS	antiviral lymphocyte serum
ALSD	Alzheimer-like senile dementia
ALT	alanine transaminase(SGPT)
ALT	argon laser trabeculoplasty
ALT	avian laryngotracheitis
ALTB	acute laryngotracheobronchitis
ALTE	acute life threatening event
ALUP	alupent
ALV	ascending lumbar vein
ALV	avian leukosis virus
ALV	avian leukemia virus
ALVAD	abdominal left ventricular assist device
ALWMI	anterolateral wall myocardial infarct
AM	acute myelofibrosis
AM	adult male
AM	adult monocyte
AM	amelanotic melanoma
AM	amalgam
AM	anovulatory menstruation
AM	ante meridiem morning(a.m.)
AM	myopic astigmatism
AM/CR	axiomesiocervical
AM/CR	amylase to creatinine ratio
AMA	against medical advice
AMA	American Medical Association
AMA	antimitochondrial antibody
AMA	anti-myosin antibody
AMAD	morning admission
AMAG	adrenal medullary autograft
AMAP	as much as possible
AMAT	anti-malignant antibody test
AMB	ambulate
AMB	ambulatory
AMB	amphotericin B
AMBER	advanced multiple beam equalization radiography
AMC	antibody-mediated cytotoxicity
AMC	arm muscle circumference
AMD	age-related macular degeneration
AMD	axiomesiodistal
AMD	dactinomycin (actinomycin D)
AMD	methyldopa (alpha methyldopa)
AMD	atropic macular degeneration
AME	agreed medical examination
AMESLAN	American sign language
AMF	aerobic metabolism facilitator
AMF	autocrine motility factor
AMG	acoustic myography
AMG	aminoglycoside
AMG	axiomesiogingival
AMH syst	automated medical history taking system
AMHTS	automated multiphasic health testing system
AMI	acute myocardial infarction
AMI	amitriptyline
AMI	axiomesioincisal
AML	acute myeolgenous leukemia
AML	angiomyolipoma
AML	acute monocytic leukemia
AMM	agnogenic myeloid metaplasia
AMML	acute myelomonocytic leukemia
AMMOL	acute myelomonoblastic leukemia
AMN	adrenomyeloneuropathy
AMN SC	amniotic fluid scan
AMOL	acute monoblastic leukemia
AMPS	acid muco poly saccharide
AMPT	metyrosine (alphamethylpara tyrosine)
AMR	alternating motor rates
AMR	average minimum requirement
AMS	acute mountain sickness
AMS	acute maxillary sinusitis
AMS	altered mental status
AMS	auditory memory span
AMSIT	portion of the mental status examination (A-appearance, M-mood, S-sensorium, I-intelligence,T-thought process)
AMTR	angiomesenchymal tissue reaction
AMTS	Abbreviated Mental Test Score
AMU	accessory-muscle use
AMV	assisted mechanical ventilation
AMV	alveolar minute ventilation
AMY	amylase
AMegL	acute megalokaryoblastic leukemia
